PARCELID,sold_date,sold_price,deed_type,acre_area,has_house,owner_state
15-09380-000,3/27/2018,0.0,QCD(QUITCLAIM DEED),3.9,True,AR
15-09380-000,8/26/2016,0.0,AFF(AFFIDAVIT),3.9,True,AR
15-09380-000,5/26/2016,265000.0,WD(WARRANTY DEED),3.9,True,AR
15-09380-000,5/25/2016,0.0,PP(PARENT PARCEL (FOR SPLIT)),3.9,True,AR
15-09380-000,9/1/2010,0.0,CERT(CERTIFICATE),3.9,True,AR
15-09380-000,5/22/2007,0.0,DEC(DECREE),3.9,True,AR
15-09380-000,9/17/2003,0.0,QCD(QUITCLAIM DEED),3.9,True,AR
15-09380-000,9/16/2003,0.0,QCD(QUITCLAIM DEED),3.9,True,AR
15-09380-000,6/13/1989,0.0,WD(WARRANTY DEED),3.9,True,AR
15-09380-000,2/10/1989,0.0,TRAG(TRUST AGREEMENT),3.9,True,AR
15-09380-000,12/15/1987,0.0,QCD(QUITCLAIM DEED),3.9,True,AR
15-09380-000,6/13/1986,5000.0,WD(WARRANTY DEED),3.9,True,AR
15-09380-000,9/6/1972,6000.0,WD(WARRANTY DEED),3.9,True,AR
15-09381-000,5/29/2018,330000.0,WD(WARRANTY DEED),5.24,True,AR
15-09381-000,7/31/2017,300000.0,TRWD(TRUSTEES WARRANTY DEED),5.24,True,AR
15-09381-000,5/3/2016,0.0,WD(WARRANTY DEED),5.24,True,AR
15-09381-000,4/26/2016,0.0,ADMN(ADMINISTRATORS DEED),5.24,True,AR
15-09381-000,4/26/2016,0.0,QCD(QUITCLAIM DEED),5.24,True,AR
15-09381-000,7/24/2014,0.0,MEMO(MEMORANDUM),5.24,True,AR
15-09381-000,3/1/2014,0.0,DC(DEATH CERTIFICATE),5.24,True,AR
15-09381-000,7/25/2003,0.0,QCD(QUITCLAIM DEED),5.24,True,AR
15-09381-000,7/13/1993,166000.0,WD(WARRANTY DEED),5.24,True,AR
15-09381-000,6/13/1989,0.0,WD(WARRANTY DEED),5.24,True,AR
15-09381-000,2/10/1989,0.0,TRAG(TRUST AGREEMENT),5.24,True,AR
