PARCELID,sold_date,sold_price,deed_type,acre_area,has_house,owner_state
15-12729-000,8/28/2023,0.0,WD(WARRANTY DEED),6.03,True,AR
15-12729-000,8/1/2023,0.0,WD(WARRANTY DEED),6.03,True,AR
15-12729-000,2/4/2015,0.0,WD(WARRANTY DEED),6.03,True,AR
15-12729-000,2/4/2015,0.0,CERT(CERTIFICATE),6.03,True,AR
15-12729-000,11/29/2005,104000.0,WD(WARRANTY DEED),6.03,True,AR
15-12730-000,4/25/2025,0.0,ADHL(AR DEPT OF HEALTH LIST),1.59,True,AR
15-12730-000,3/13/2025,0.0,ADHL(AR DEPT OF HEALTH LIST),1.59,True,AR
15-12730-000,2/5/2024,0.0,QCD(QUITCLAIM DEED),1.59,True,AR
15-12730-000,8/28/2023,0.0,WD(WARRANTY DEED),1.59,True,AR
15-12730-000,8/1/2023,0.0,WD(WARRANTY DEED),1.59,True,AR
15-12730-000,8/1/2023,0.0,WD(WARRANTY DEED),1.59,True,AR
15-12730-000,10/21/2020,0.0,WD(WARRANTY DEED),1.59,True,AR
15-12730-000,2/4/2015,0.0,CERT(CERTIFICATE),1.59,True,AR
15-12730-000,11/29/2005,104000.0,WD(WARRANTY DEED),1.59,True,AR
15-12731-000,4/25/2025,0.0,ADHL(AR DEPT OF HEALTH LIST),3.27,False,AR
15-12731-000,3/13/2025,0.0,ADHL(AR DEPT OF HEALTH LIST),3.27,False,AR
15-12731-000,2/5/2024,0.0,QCD(QUITCLAIM DEED),3.27,False,AR
15-12731-000,8/28/2023,0.0,WD(WARRANTY DEED),3.27,False,AR
15-12731-000,8/1/2023,0.0,WD(WARRANTY DEED),3.27,False,AR
15-12731-000,10/21/2020,0.0,WD(WARRANTY DEED),3.27,False,AR
15-12731-000,2/4/2015,0.0,CERT(CERTIFICATE),3.27,False,AR
15-12731-000,11/29/2005,104000.0,WD(WARRANTY DEED),3.27,False,AR
15-12732-000,5/21/2015,0.0,WD(WARRANTY DEED),5.64,False,AR
15-12732-000,2/4/2015,0.0,CERT(CERTIFICATE),5.64,False,AR
15-12732-000,11/29/2005,104000.0,WD(WARRANTY DEED),5.64,False,AR
16-03860-000,7/12/2013,0.0,LWD(LIMITED WARRANTY DEED),0.3,False,AR
16-03860-000,3/16/2010,0.0,OTHER(OTHER DOCUMENT),0.3,False,AR
16-03860-000,3/16/2010,0.0,OTHER(OTHER DOCUMENT),0.3,False,AR
16-03860-000,12/21/2006,209000.0,WD(WARRANTY DEED),0.3,False,AR
16-03860-000,5/5/2003,7000.0,WD(WARRANTY DEED),0.3,False,AR
16-03860-000,11/24/1992,0.0,QCD(QUITCLAIM DEED),0.3,False,AR
16-03860-000,12/2/1986,0.0,WD(WARRANTY DEED),0.3,False,AR
16-03860-000,12/23/1982,10000.0,WD(WARRANTY DEED),0.3,False,AR
16-03861-000,6/16/2022,0.0,QCD(QUITCLAIM DEED),0.28,True,AR
16-03861-000,8/18/2017,160000.0,WD(WARRANTY DEED),0.28,True,AR
16-03861-000,4/5/2006,14000.0,WD(WARRANTY DEED),0.28,True,AR
16-03861-000,2/23/1995,0.0,QCD(QUITCLAIM DEED),0.28,True,AR
16-03861-000,7/28/1993,0.0,COMMD(COMMISSIONERS DEED),0.28,True,AR
16-03861-000,2/6/1989,7000.0,WD(WARRANTY DEED),0.28,True,AR
16-03861-000,10/24/1986,0.0,WD(WARRANTY DEED),0.28,True,AR
16-03862-000,3/25/2021,5000.0,CORRWD(CORRECTED WARRANTY DEED),0.28,True,AR
16-03862-000,9/22/2020,5000.0,WD(WARRANTY DEED),0.28,True,AR
16-03862-000,2/23/2011,0.0,WD(WARRANTY DEED),0.28,True,AR
16-03862-000,5/13/1997,2000.0,WD(WARRANTY DEED),0.28,True,AR
16-03862-000,5/13/1997,1000.0,WD(WARRANTY DEED),0.28,True,AR
16-03862-000,2/18/1994,1000.0,WD(WARRANTY DEED),0.28,True,AR
16-03862-000,12/28/1993,0.0,DC(DEATH CERTIFICATE),0.28,True,AR
16-03862-000,3/8/1983,10000.0,WD(WARRANTY DEED),0.28,True,AR
16-03863-000,1/31/2006,15000.0,WD(WARRANTY DEED),0.29,False,FL
16-03863-000,1/5/2006,6000.0,WD(WARRANTY DEED),0.29,False,FL
16-03863-000,8/25/1992,4000.0,WD(WARRANTY DEED),0.29,False,FL
16-03863-000,4/1/1992,0.0,WD(WARRANTY DEED),0.29,False,FL
16-03863-000,7/12/1990,9000.0,WD(WARRANTY DEED),0.29,False,FL
16-03863-000,10/17/1989,0.0,WD(WARRANTY DEED),0.29,False,FL
16-03863-000,3/24/1983,9000.0,WD(WARRANTY DEED),0.29,False,FL
16-03864-000,5/31/2018,0.0,TRAG(TRUST AGREEMENT),0.34,False,AR
16-03864-000,5/31/2018,1000.0,TRWD(TRUSTEES WARRANTY DEED),0.34,False,AR
16-03864-000,9/17/2009,0.0,WD(WARRANTY DEED),0.34,False,AR
16-03864-000,9/17/2009,0.0,CERT(CERTIFICATE),0.34,False,AR
