PARCELID,sold_date,sold_price,deed_type,acre_area,has_house,owner_state
18-09532-000,5/3/2010,119000.0,FD(FIDUCIARY DEED),60.42,False,AR
18-09532-000,9/2/1980,0.0,QCD(QUITCLAIM DEED),60.42,False,AR
18-09532-000,1/4/1968,0.0,WD(WARRANTY DEED),60.42,False,AR
18-09532-000,2/2/1925,0.0,WD(WARRANTY DEED),60.42,False,AR
18-09533-000,4/24/2025,0.0,CERT(CERTIFICATE),30.18,True,AR
18-09533-000,2/28/2023,0.0,CERT(CERTIFICATE),30.18,True,AR
18-09533-000,1/26/2017,0.0,CERT(CERTIFICATE),30.18,True,AR
18-09533-000,5/3/2010,0.0,EA(EASEMENT),30.18,True,AR
18-09533-000,5/21/2009,0.0,CORRQC(CORRECTED QUIT CLAIM DEED),30.18,True,AR
18-09533-000,11/20/2007,0.0,MEMO(MEMORANDUM),30.18,True,AR
18-09533-000,1/6/2007,0.0,DC(DEATH CERTIFICATE),30.18,True,AR
18-09533-000,12/30/2002,0.0,AFF(AFFIDAVIT),30.18,True,AR
18-09533-000,9/21/1998,0.0,QCD(QUITCLAIM DEED),30.18,True,AR
18-09533-000,9/8/1986,0.0,QCD(QUITCLAIM DEED),30.18,True,AR
18-09533-000,7/16/1981,0.0,QCD(QUITCLAIM DEED),30.18,True,AR
18-09533-000,4/7/1977,0.0,WD(WARRANTY DEED),30.18,True,AR
18-09534-000,5/3/2022,0.0,DC(DEATH CERTIFICATE),40.48,True,FL
18-09534-000,4/4/2022,0.0,DC(DEATH CERTIFICATE),40.48,True,FL
18-09534-000,8/3/2012,0.0,QCD(QUITCLAIM DEED),40.48,True,FL
18-09534-000,11/16/1987,0.0,QCD(QUITCLAIM DEED),40.48,True,FL
18-09535-000,10/31/2019,0.0,PP(PARENT PARCEL (FOR SPLIT)),92.37,True,AR
18-09535-000,10/31/2019,0.0,CERT(CERTIFICATE),92.37,True,AR
18-09535-000,10/31/2019,0.0,TRD(TRUSTEES DEED),92.37,True,AR
18-09535-000,10/31/2019,0.0,CERT(CERTIFICATE),92.37,True,AR
18-09535-000,3/3/2017,0.0,DC(DEATH CERTIFICATE),92.37,True,AR
18-09535-000,9/28/2011,0.0,CERT(CERTIFICATE),92.37,True,AR
18-09535-000,7/13/2011,0.0,CERT(CERTIFICATE),92.37,True,AR
18-09535-000,7/13/2011,0.0,CERT(CERTIFICATE),92.37,True,AR
18-09535-000,5/29/2009,0.0,EA(EASEMENT),92.37,True,AR
18-09535-000,4/11/2001,0.0,WD(WARRANTY DEED),92.37,True,AR
18-09535-000,9/28/2000,0.0,CERT(CERTIFICATE),92.37,True,AR
18-09535-000,5/31/1973,0.0,WD(WARRANTY DEED),92.37,True,AR
18-09535-001,10/31/2019,0.0,TRD(TRUSTEES DEED),1.81,False,AR
18-09536-000,4/24/2025,0.0,CERT(CERTIFICATE),33.9,True,AR
18-09536-000,2/28/2023,0.0,CERT(CERTIFICATE),33.9,True,AR
18-09536-000,1/26/2017,0.0,CERT(CERTIFICATE),33.9,True,AR
18-09536-000,5/3/2010,0.0,EA(EASEMENT),33.9,True,AR
18-09536-000,5/21/2009,0.0,CORRQC(CORRECTED QUIT CLAIM DEED),33.9,True,AR
18-09536-000,11/20/2007,0.0,MEMO(MEMORANDUM),33.9,True,AR
18-09536-000,1/3/2007,0.0,DC(DEATH CERTIFICATE),33.9,True,AR
18-09536-000,5/23/2003,0.0,WD(WARRANTY DEED),33.9,True,AR
18-09536-000,1/7/2003,390000.0,WD(WARRANTY DEED),33.9,True,AR
18-09536-000,10/31/2002,0.0,DC(DEATH CERTIFICATE),33.9,True,AR
18-09536-000,11/22/2000,0.0,DC(DEATH CERTIFICATE),33.9,True,AR
18-09536-000,5/18/1992,60000.0,WD(WARRANTY DEED),33.9,True,AR
18-09536-000,6/4/1987,0.0,CORRWD(CORRECTED WARRANTY DEED),33.9,True,AR
18-09536-000,7/31/1986,0.0,WD(WARRANTY DEED),33.9,True,AR
18-09536-001,12/17/2020,240000.0,WD(WARRANTY DEED),1.09,True,AR
18-09536-001,12/17/2020,0.0,BD(BENEFICIARY DEED),1.09,True,AR
18-09536-001,3/26/2020,0.0,QCD(QUITCLAIM DEED),1.09,True,AR
18-09536-001,3/6/2017,0.0,BD(BENEFICIARY DEED),1.09,True,AR
18-09536-001,10/7/1997,78000.0,WD(WARRANTY DEED),1.09,True,AR
18-09536-001,5/18/1992,60000.0,WD(WARRANTY DEED),1.09,True,AR
18-09536-003,5/23/2003,0.0,WD(WARRANTY DEED),0.08,False,AR
18-09537-000,4/24/2025,0.0,CERT(CERTIFICATE),65.22,True,AR
18-09537-000,2/28/2023,0.0,CERT(CERTIFICATE),65.22,True,AR
18-09537-000,1/26/2017,0.0,CERT(CERTIFICATE),65.22,True,AR
18-09537-000,5/3/2010,0.0,EA(EASEMENT),65.22,True,AR
18-09537-000,5/21/2009,0.0,CORRQC(CORRECTED QUIT CLAIM DEED),65.22,True,AR
18-09537-000,11/20/2007,0.0,MEMO(MEMORANDUM),65.22,True,AR
18-09537-000,1/6/2007,0.0,DC(DEATH CERTIFICATE),65.22,True,AR
18-09537-000,7/19/2005,0.0,WD(WARRANTY DEED),65.22,True,AR
18-09537-000,9/13/2001,0.0,WD(WARRANTY DEED),65.22,True,AR
18-09537-000,12/7/1989,0.0,CORRWD(CORRECTED WARRANTY DEED),65.22,True,AR
18-09537-000,2/19/1988,0.0,CORRWD(CORRECTED WARRANTY DEED),65.22,True,AR
18-09537-000,1/31/1987,0.0,CORRWD(CORRECTED WARRANTY DEED),65.22,True,AR
18-09537-000,6/19/1985,76000.0,WD(WARRANTY DEED),65.22,True,AR
18-09537-000,6/19/1985,0.0,QCD(QUITCLAIM DEED),65.22,True,AR
18-09537-000,12/29/1977,6000.0,WD(WARRANTY DEED),65.22,True,AR
18-09537-001,11/20/2007,0.0,MEMO(MEMORANDUM),2.41,False,AR
18-09537-001,1/6/2007,0.0,DC(DEATH CERTIFICATE),2.41,False,AR
18-09537-001,7/7/2005,0.0,QCD(QUITCLAIM DEED),2.41,False,AR
18-09537-001,9/13/2001,0.0,WD(WARRANTY DEED),2.41,False,AR
18-09537-010,10/2/2009,0.0,QCD(QUITCLAIM DEED),4.12,True,AR
18-09537-010,1/6/2009,0.0,WD(WARRANTY DEED),4.12,True,AR
18-09537-010,12/28/2006,0.0,OTHER(OTHER DOCUMENT),4.12,True,AR
18-09537-010,7/7/2005,0.0,WD(WARRANTY DEED),4.12,True,AR
18-09538-000,4/24/2025,0.0,CERT(CERTIFICATE),5.0,False,AR
18-09538-000,2/28/2023,0.0,CERT(CERTIFICATE),5.0,False,AR
18-09538-000,1/26/2017,0.0,CERT(CERTIFICATE),5.0,False,AR
18-09538-000,5/3/2010,0.0,EA(EASEMENT),5.0,False,AR
18-09538-000,5/21/2009,0.0,CORRQC(CORRECTED QUIT CLAIM DEED),5.0,False,AR
18-09538-000,11/20/2007,0.0,MEMO(MEMORANDUM),5.0,False,AR
18-09538-000,1/6/2007,0.0,DC(DEATH CERTIFICATE),5.0,False,AR
18-09538-000,8/15/2001,25000.0,WD(WARRANTY DEED),5.0,False,AR
18-09538-000,10/6/1982,3000.0,WD(WARRANTY DEED),5.0,False,AR
18-09538-000,7/15/1975,3000.0,WD(WARRANTY DEED),5.0,False,AR
18-09539-000,4/24/2025,0.0,CERT(CERTIFICATE),1.9,True,AR
18-09539-000,2/28/2023,0.0,CERT(CERTIFICATE),1.9,True,AR
18-09539-000,1/26/2017,0.0,CERT(CERTIFICATE),1.9,True,AR
18-09539-000,5/21/2009,0.0,CORRQC(CORRECTED QUIT CLAIM DEED),1.9,True,AR
18-09539-000,9/21/1998,0.0,QCD(QUITCLAIM DEED),1.9,True,AR
18-09539-000,5/25/1979,0.0,QCD(QUITCLAIM DEED),1.9,True,AR
18-09539-000,5/25/1979,0.0,QCD(QUITCLAIM DEED),1.9,True,AR
18-09539-003,5/15/2024,0.0,ADHL(AR DEPT OF HEALTH LIST),30.13,True,AR
18-09539-003,12/14/2021,0.0,PP(PARENT PARCEL (FOR SPLIT)),30.13,True,AR
18-09539-003,3/25/2021,0.0,PP(PARENT PARCEL (FOR SPLIT)),30.13,True,AR
18-09539-003,6/3/2010,0.0,QCD(QUITCLAIM DEED),30.13,True,AR
18-09539-003,5/3/2010,459000.0,FD(FIDUCIARY DEED),30.13,True,AR
18-09539-004,4/24/2025,0.0,CERT(CERTIFICATE),14.57,False,AR
18-09539-004,2/28/2023,0.0,CERT(CERTIFICATE),14.57,False,AR
18-09539-004,1/26/2017,0.0,CERT(CERTIFICATE),14.57,False,AR
18-09539-004,5/11/2010,146000.0,FD(FIDUCIARY DEED),14.57,False,AR
18-09539-005,3/25/2021,0.0,WD(WARRANTY DEED),10.0,True,AR
18-09539-006,12/14/2021,0.0,WD(WARRANTY DEED),10.0,False,AR
18-09540-000,5/15/2024,0.0,ADHL(AR DEPT OF HEALTH LIST),20.11,True,AR
18-09540-000,12/11/2006,0.0,WD(WARRANTY DEED),20.11,True,AR
18-09540-000,12/10/2003,0.0,WD(WARRANTY DEED),20.11,True,AR
18-09540-000,6/16/1998,0.0,WD(WARRANTY DEED),20.11,True,AR
18-09540-000,10/3/1988,0.0,QCD(QUITCLAIM DEED),20.11,True,AR
18-09540-000,10/3/1988,0.0,AFF(AFFIDAVIT),20.11,True,AR
18-09540-000,10/3/1988,0.0,QCD(QUITCLAIM DEED),20.11,True,AR
18-09540-000,2/8/1988,0.0,DC(DEATH CERTIFICATE),20.11,True,AR
18-09540-000,1/15/1975,0.0,DC(DEATH CERTIFICATE),20.11,True,AR
18-09540-002,11/4/2020,0.0,BD(BENEFICIARY DEED),10.01,True,AR
18-09540-002,3/1/2020,0.0,AFF(AFFIDAVIT),10.01,True,AR
18-09540-002,6/1/2018,0.0,QCD(QUITCLAIM DEED),10.01,True,AR
18-09540-002,12/10/2003,0.0,WD(WARRANTY DEED),10.01,True,AR
18-09540-005,10/18/2011,0.0,QCD(QUITCLAIM DEED),10.0,True,AR
18-09540-005,12/11/2006,0.0,WD(WARRANTY DEED),10.0,True,AR
18-09541-000,6/29/2009,87000.0,WD(WARRANTY DEED),6.0,True,AR
18-09541-000,1/6/2009,0.0,DC(DEATH CERTIFICATE),6.0,True,AR
18-09541-000,5/1/2002,0.0,AFF(AFFIDAVIT),6.0,True,AR
18-09541-000,9/13/1994,26000.0,WD(WARRANTY DEED),6.0,True,AR
18-09541-000,3/28/1994,0.0,MEMO(MEMORANDUM),6.0,True,AR
18-09541-000,8/31/1993,46000.0,WD(WARRANTY DEED),6.0,True,AR
18-09541-000,10/16/1981,17000.0,WD(WARRANTY DEED),6.0,True,AR
18-09541-001,8/21/2023,0.0,QCD(QUITCLAIM DEED),3.0,True,AR
18-09541-001,8/15/2012,0.0,CONT(CONTRACT),3.0,True,AR
18-09541-001,6/26/2009,0.0,ADMN(ADMINISTRATORS DEED),3.0,True,AR
18-09541-001,10/4/2005,0.0,ML(MARRIAGE LICENSE),3.0,True,AR
18-09541-001,4/9/2004,0.0,ADMN(ADMINISTRATORS DEED),3.0,True,AR
18-09541-001,11/23/2002,0.0,DC(DEATH CERTIFICATE),3.0,True,AR
18-09541-001,5/1/2002,0.0,AFF(AFFIDAVIT),3.0,True,AR
18-09541-001,8/31/1993,46000.0,WD(WARRANTY DEED),3.0,True,AR
18-09541-002,6/29/2009,0.0,WD(WARRANTY DEED),1.4,True,AR
18-09541-002,6/6/2009,0.0,DC(DEATH CERTIFICATE),1.4,True,AR
18-09541-002,5/27/2004,0.0,ADMN(ADMINISTRATORS DEED),1.4,True,AR
18-09541-002,5/1/2002,0.0,AFF(AFFIDAVIT),1.4,True,AR
18-09541-002,5/24/2001,24000.0,WD(WARRANTY DEED),1.4,True,AR
18-09542-000,4/29/2021,0.0,WD(WARRANTY DEED),21.56,True,AR
18-09542-000,4/19/2021,0.0,CERT(CERTIFICATE),21.56,True,AR
18-09542-000,6/15/2004,0.0,WD(WARRANTY DEED),21.56,True,AR
18-09542-000,9/21/1998,0.0,WD(WARRANTY DEED),21.56,True,AR
18-09542-000,8/25/1982,22000.0,WD(WARRANTY DEED),21.56,True,AR
18-09543-000,6/29/2009,0.0,WD(WARRANTY DEED),0.67,False,AR
18-09543-000,1/6/2009,0.0,DC(DEATH CERTIFICATE),0.67,False,AR
18-09543-000,5/27/2004,0.0,ADMN(ADMINISTRATORS DEED),0.67,False,AR
18-09543-000,5/1/2002,0.0,AFF(AFFIDAVIT),0.67,False,AR
18-09543-000,9/13/1994,26000.0,WD(WARRANTY DEED),0.67,False,AR
18-09543-000,3/28/1994,0.0,MEMO(MEMORANDUM),0.67,False,AR
18-09543-000,9/7/1993,5000.0,WD(WARRANTY DEED),0.67,False,AR
18-09543-000,8/31/1993,46000.0,WD(WARRANTY DEED),0.67,False,AR
18-09543-000,8/25/1982,22000.0,WD(WARRANTY DEED),0.67,False,AR
18-09543-000,10/16/1981,17000.0,WD(WARRANTY DEED),0.67,False,AR
18-09543-000,1/1/1800,0.0,CONT(CONTRACT),0.67,False,AR
18-09543-001,10/24/2024,25000.0,WD(WARRANTY DEED),1.01,True,AR
18-09543-001,4/14/2023,8000.0,PP(PARENT PARCEL (FOR SPLIT)),1.01,True,AR
18-09543-001,6/26/2009,0.0,ADMN(ADMINISTRATORS DEED),1.01,True,AR
18-09543-001,10/4/2005,0.0,ML(MARRIAGE LICENSE),1.01,True,AR
18-09543-001,4/9/2004,0.0,ADMN(ADMINISTRATORS DEED),1.01,True,AR
18-09543-001,11/23/2002,0.0,DC(DEATH CERTIFICATE),1.01,True,AR
18-09543-001,5/1/2002,0.0,AFF(AFFIDAVIT),1.01,True,AR
18-09543-001,8/31/1993,46000.0,WD(WARRANTY DEED),1.01,True,AR
18-09543-002,4/14/2023,8000.0,WD(WARRANTY DEED),2.64,True,AR
18-09544-000,7/29/1990,0.0,OTHER(OTHER DOCUMENT),0.6,True,AR
18-09544-000,8/20/1986,78000.0,WD(WARRANTY DEED),0.6,True,AR
18-09544-000,1/14/1985,75000.0,WD(WARRANTY DEED),0.6,True,AR
18-09544-000,10/30/1981,39000.0,WD(WARRANTY DEED),0.6,True,AR
18-09544-000,1/1/1800,0.0,CONT(CONTRACT),0.6,True,AR
18-09545-000,5/28/2021,350000.0,FD(FIDUCIARY DEED),3.15,False,UT
18-09545-000,3/28/2019,0.0,OR(ORDER),3.15,False,UT
18-09545-000,11/10/2018,0.0,OTHER(OTHER DOCUMENT),3.15,False,UT
18-09545-000,6/11/2010,0.0,RD(REDEMPTION DEED),3.15,False,UT
18-09545-000,12/18/2001,96000.0,WD(WARRANTY DEED),3.15,False,UT
18-09545-000,12/18/2001,15000.0,CORRWD(CORRECTED WARRANTY DEED),3.15,False,UT
18-09545-000,8/7/1987,6000.0,WD(WARRANTY DEED),3.15,False,UT
18-09546-000,4/24/2025,0.0,CERT(CERTIFICATE),23.17,True,AR
18-09546-000,2/28/2023,0.0,CERT(CERTIFICATE),23.17,True,AR
18-09546-000,5/3/2017,0.0,PP(PARENT PARCEL (FOR SPLIT)),23.17,True,AR
